farm_name,question
DairyFarm_3,"गाय के बछड़े के खड़े होने में देरी हो रही है, कारण?"
DairyFarm_5,भैंस का वजन तेजी से क्यों घट रहा है?
DairyFarm_3,ಹಸುಗಳ ಆರೋಗ್ಯ ಪರೀಕ್ಷೆ ಯಾವಾಗ ಮಾಡಬೇಕು?
DairyFarm_5,"गाईचे दूध येणे थांबले, काय करावे?"
DairyFarm_5,गाईला गरोदर ठेवण्यासाठी कोणत्या काळजी घ्याव्यात?
DairyFarm_4,दूध में फैट बढ़ाने के उपाय बताइए.
DairyFarm_3,ಕರುಗಳಿಗೆ ಹಾಲು ಬದಲು ಏನು ನೀಡಬಹುದು?
DairyFarm_4,ಹಸುಗಳಿಗೆ ಜಲಶಕ್ತಿ ಉಳಿಸಲು ಯಾವ ವಿಧಾನ ಉತ್ತಮ?
DairyFarm_3,"म्हशीच्या पायाला सूज आलीये, काय करावं?"
DairyFarm_4,ಕರುಗಳಿಗೆ ಹಾಲು ಬದಲು ಏನು ನೀಡಬಹುದು?
DairyFarm_3,गाईला गरोदर ठेवण्यासाठी कोणत्या काळजी घ्याव्यात?
DairyFarm_4,नवजात बछड़े को पहला दूध कब पिलाना चाहिए?
DairyFarm_3,गाय का गर्भाधान कब कराना चाहिए?
DairyFarm_3,ಹಾಲಿನ ಉತ್ಪಾದನೆ ಇಳಿದರೆ ಯಾವ ಆಹಾರ ಕೊಡುವುದು?
DairyFarm_2,दूध वढवण्यासाठी कोणते मिश्रित खाद्य द्यावे?
DairyFarm_2,"गाईचे दूध येणे थांबले, काय करावे?"
DairyFarm_4,ಕರುಗಳಿಗೆ ಹಾಲು ಬದಲು ಏನು ನೀಡಬಹುದು?
DairyFarm_5,ಹಸುಗಳ ಆರೋಗ್ಯ ಪರೀಕ್ಷೆ ಯಾವಾಗ ಮಾಡಬೇಕು?
DairyFarm_1,"म्हशीच्या पायाला सूज आलीये, काय करावं?"
DairyFarm_3,गायीच्या दूधात वास का येतोय?
DairyFarm_3,गाईचा आहार संतुलित कसा करावा?
DairyFarm_4,गाय का दूध अचानक कम क्यों हो गया?
DairyFarm_5,म्हशीच्या दूधात चरबी वाढवण्यासाठी कोणती खुराक द्यावी?
DairyFarm_4,दूध में फैट बढ़ाने के उपाय बताइए.
DairyFarm_1,"गाय के बछड़े के खड़े होने में देरी हो रही है, कारण?"
DairyFarm_1,"गाय के बछड़े के खड़े होने में देरी हो रही है, कारण?"
DairyFarm_3,गायीच्या दूधात वास का येतोय?
DairyFarm_5,ಹಸುವಿಗೆ ಬೇಸಿಗೆಯ ತಾಪದಿಂದ ರಕ್ಷಣೆ ಹೇಗೆ?
DairyFarm_5,"भैंस ने खाना पीना छोड़ दिया है, उपाय बताइए."
DairyFarm_3,दूध में फैट बढ़ाने के उपाय बताइए.
DairyFarm_2,ಹಸುವಿಗೆ ಬೇಸಿಗೆಯ ತಾಪದಿಂದ ರಕ್ಷಣೆ ಹೇಗೆ?
DairyFarm_5,ಹಸು ಹಾಲು ಕೊಡುವ ಪ್ರಮಾಣ ಏಕೆ ಕಡಿಮೆ ಆಗಿದೆ?
DairyFarm_2,ಹಸು ಹಾಲು ಕೊಡುವ ಪ್ರಮಾಣ ಏಕೆ ಕಡಿಮೆ ಆಗಿದೆ?
DairyFarm_5,गाय का गर्भाधान कब कराना चाहिए?
DairyFarm_5,"भैंस ने खाना पीना छोड़ दिया है, उपाय बताइए."
DairyFarm_1,"गाईचे दूध येणे थांबले, काय करावे?"
DairyFarm_1,म्हशीला पूरक आहार कोणता चांगला आहे?
DairyFarm_4,भैंस का वजन तेजी से क्यों घट रहा है?
DairyFarm_4,भैंस का वजन तेजी से क्यों घट रहा है?
DairyFarm_2,ಹಸುಗಳಿಗೆ ಜಲಶಕ್ತಿ ಉಳಿಸಲು ಯಾವ ವಿಧಾನ ಉತ್ತಮ?
DairyFarm_1,ಹಸುವಿನ ತಾಪಮಾನವನ್ನು ಹತೋಟಿ ಮಾಡುವುದು ಹೇಗೆ?
DairyFarm_5,म्हशीला पूरक आहार कोणता चांगला आहे?
DairyFarm_2,ಹಸುವಿನ ತಾಪಮಾನವನ್ನು ಹತೋಟಿ ಮಾಡುವುದು ಹೇಗೆ?
DairyFarm_1,"बछड़ा बार-बार दस्त कर रहा है, क्या करें?"
DairyFarm_5,पशु को खुरपका-मुंहपका से कैसे बचाएं?
DairyFarm_1,ಹಸುಗಳಿಗೆ ಜಲಶಕ್ತಿ ಉಳಿಸಲು ಯಾವ ವಿಧಾನ ಉತ್ತಮ?
DairyFarm_3,गाईला गरोदर ठेवण्यासाठी कोणत्या काळजी घ्याव्यात?
DairyFarm_3,गायीच्या दूधात वास का येतोय?
DairyFarm_5,"बछड़ा बार-बार दस्त कर रहा है, क्या करें?"
DairyFarm_4,पशुओं को गर्मी से राहत देने के तरीके बताइए.
