Year,Crop,Season,Area_cultivated_acres,Soil_type,Rainfall_mm,Avg_temperature_C,Fertilizer_used,Pesticide_used,Yield_quintals
2015,Wheat,Zaid,3.69,Sandy,868.2,23.3,Compost,None,14.27
2015,Rice,Zaid,3.48,Sandy,428.3,27.2,MOP,Imidacloprid,33.18
2015,Maize,Zaid,4.6,Loamy,943.3,22.8,DAP,Bavistin,37.55
2015,Sugarcane,Kharif,3.14,Loamy,466.6,24.5,Compost,Imidacloprid,49.58
2015,Soybean,Kharif,3.09,Black Soil,1135.7,31.4,Urea,Bavistin,36.35
2016,Wheat,Zaid,4.15,Black Soil,533.6,34.7,MOP,Neem Oil,14.15
2016,Rice,Zaid,4.5,Loamy,904.4,26.2,MOP,Bavistin,38.23
2016,Maize,Zaid,4.65,Sandy,709.4,31.4,MOP,Chlorpyrifos,43.33
2016,Sugarcane,Kharif,2.27,Black Soil,1122.3,31.0,MOP,None,22.93
2016,Soybean,Zaid,1.7,Loamy,890.1,30.6,DAP,None,22.99
2017,Wheat,Kharif,3.04,Loamy,1039.1,32.9,MOP,Neem Oil,42.12
2017,Rice,Rabi,4.99,Loamy,475.3,34.7,NPK,Bavistin,31.7
2017,Maize,Rabi,1.79,Loamy,768.5,28.1,Urea,Neem Oil,47.54
2017,Sugarcane,Rabi,4.91,Clay,760.2,22.6,Compost,Neem Oil,43.83
2017,Soybean,Zaid,1.68,Sandy,478.7,24.3,MOP,Bavistin,40.2
2018,Wheat,Zaid,3.85,Sandy,982.1,27.8,Urea,None,32.38
2018,Rice,Rabi,2.18,Sandy,830.6,22.8,DAP,Bavistin,49.63
2018,Maize,Zaid,4.76,Black Soil,419.5,34.5,DAP,Neem Oil,18.47
2018,Sugarcane,Kharif,1.89,Clay,877.8,26.3,MOP,None,18.61
2018,Soybean,Zaid,3.57,Loamy,1086.5,24.2,Urea,None,16.8
2019,Wheat,Zaid,4.3,Sandy,685.5,23.0,Urea,Imidacloprid,29.81
2019,Rice,Rabi,2.31,Black Soil,983.6,30.9,NPK,Chlorpyrifos,29.98
2019,Maize,Rabi,2.43,Black Soil,454.9,24.2,NPK,None,28.25
2019,Sugarcane,Zaid,2.13,Black Soil,491.2,22.6,MOP,None,47.02
2019,Soybean,Kharif,3.74,Black Soil,1133.6,30.5,Compost,Chlorpyrifos,27.24
2020,Wheat,Rabi,4.5,Clay,878.8,31.1,NPK,Imidacloprid,23.89
2020,Rice,Rabi,3.29,Sandy,479.3,32.0,Urea,Imidacloprid,41.06
2020,Maize,Zaid,4.18,Sandy,845.5,31.4,DAP,Neem Oil,39.74
2020,Sugarcane,Kharif,4.13,Black Soil,953.4,33.2,NPK,Neem Oil,23.61
2020,Soybean,Kharif,2.44,Clay,786.7,23.3,MOP,Imidacloprid,43.92
2021,Wheat,Kharif,4.68,Clay,512.4,24.1,NPK,Imidacloprid,13.76
2021,Rice,Rabi,1.78,Clay,1079.9,21.3,MOP,Neem Oil,46.58
2021,Maize,Rabi,2.87,Black Soil,507.9,24.6,Urea,Neem Oil,31.6
2021,Sugarcane,Kharif,4.24,Sandy,435.5,26.5,DAP,Imidacloprid,29.51
2021,Soybean,Zaid,4.83,Sandy,920.6,27.2,DAP,Neem Oil,11.09
2022,Wheat,Rabi,4.41,Black Soil,583.3,29.4,DAP,None,32.82
2022,Rice,Rabi,2.24,Sandy,619.4,23.6,Compost,Chlorpyrifos,24.98
2022,Maize,Kharif,4.98,Clay,439.0,21.2,Compost,Imidacloprid,36.75
2022,Sugarcane,Kharif,2.32,Loamy,982.2,20.3,MOP,Bavistin,14.02
2022,Soybean,Zaid,1.83,Loamy,737.4,29.9,MOP,Bavistin,39.27
2023,Wheat,Rabi,2.62,Black Soil,687.4,22.2,MOP,Imidacloprid,10.25
2023,Rice,Rabi,4.27,Loamy,709.9,22.0,NPK,Imidacloprid,29.3
2023,Maize,Rabi,2.78,Loamy,559.9,21.2,NPK,Imidacloprid,27.74
2023,Sugarcane,Zaid,2.14,Black Soil,869.4,22.8,Urea,Imidacloprid,29.93
2023,Soybean,Kharif,4.61,Loamy,721.8,32.8,DAP,Imidacloprid,31.63
2024,Wheat,Kharif,3.55,Clay,722.3,21.3,MOP,None,28.99
2024,Rice,Rabi,3.9,Sandy,822.6,33.1,NPK,Bavistin,40.94
2024,Maize,Kharif,2.1,Black Soil,482.0,29.7,Urea,Neem Oil,15.04
2024,Sugarcane,Zaid,4.74,Sandy,980.5,28.8,DAP,Chlorpyrifos,39.47
2024,Soybean,Zaid,3.61,Loamy,996.0,33.1,NPK,Imidacloprid,41.43
