farm_name,question
AgriFarm_3,मका पिकावर कोणती खते द्यावीत उत्पादन वाढवायला?
AgriFarm_3,जैविक खाद कैसे तैयार करें घर पर?
AgriFarm_3,ತೊಗರಿ ಬೆಳೆಗೆ ಉತ್ತಮವಾದ ರಾಸಾಯನಿಕ ಮಾಹಿತಿ ನೀಡಿ.
AgriFarm_1,सरसों में पत्तियां पीली क्यों हो रही हैं?
AgriFarm_4,खरपतवार नियंत्रण का सबसे अच्छा तरीका क्या है?
AgriFarm_5,ನೆಲದ ಎಣ್ಣೆ ಮಟ್ಟ ನೋಡೋದು ಹೇಗೆ ಉಪಯೋಗಿ?
AgriFarm_5,सोयाबीन पिकासाठी योग्यतमत खत कोणते आहे?
AgriFarm_3,ತೊಗರಿ ಬೆಳೆಗೆ ಉತ್ತಮವಾದ ರಾಸಾಯನಿಕ ಮಾಹಿತಿ ನೀಡಿ.
AgriFarm_3,ಶೇಂಗಾ ಬೆಳೆ ಬೇರಿನ ಕೊಳೆ ತಡೆಯಲು ಏನು ಮಾಡಬೇಕು?
AgriFarm_4,सोयाबीन पिकासाठी योग्यतमत खत कोणते आहे?
AgriFarm_4,ಹಸಿ ಗೊಬ್ಬರದ ಒಳ್ಳೆಯ ಬಳಕೆ ಬಗ್ಗೆ ಮಾಹಿತಿ ನೀಡಿ.
AgriFarm_3,सोयाबीन पिकासाठी योग्यतमत खत कोणते आहे?
AgriFarm_2,यदि खेत में पानी भर जाए तो फसल कैसे बचाएं?
AgriFarm_4,सिंचाई कितने दिन में करनी चाहिए?
AgriFarm_4,कांदा पिकाला वेळेवर पाणी न दिल्यास काय परिणाम होतो?
AgriFarm_4,यदि खेत में पानी भर जाए तो फसल कैसे बचाएं?
AgriFarm_1,सिंचाई कितने दिन में करनी चाहिए?
AgriFarm_3,जैविक खाद कैसे तैयार करें घर पर?
AgriFarm_1,अगर खेत में दीमक लग जाए तो क्या करें?
AgriFarm_4,मका पिकावर कोणती खते द्यावीत उत्पादन वाढवायला?
AgriFarm_5,गहू लावल्यावर फवारणी कधी करायची?
AgriFarm_2,ಹಸಿ ಗೊಬ್ಬರದ ಒಳ್ಳೆಯ ಬಳಕೆ ಬಗ್ಗೆ ಮಾಹಿತಿ ನೀಡಿ.
AgriFarm_5,ಹಸಿ ಗೊಬ್ಬರದ ಒಳ್ಳೆಯ ಬಳಕೆ ಬಗ್ಗೆ ಮಾಹಿತಿ ನೀಡಿ.
AgriFarm_3,यदि खेत में पानी भर जाए तो फसल कैसे बचाएं?
AgriFarm_4,खरपतवार नियंत्रण का सबसे अच्छा तरीका क्या है?
AgriFarm_3,गेहूं में दाना भरने में कमी क्यों आ रही है?
AgriFarm_1,"ऊसाच्या मुळ्या कुजत आहेत, उपाय सांगा."
AgriFarm_2,ಹಸಿ ಗೊಬ್ಬರದ ಒಳ್ಳೆಯ ಬಳಕೆ ಬಗ್ಗೆ ಮಾಹಿತಿ ನೀಡಿ.
AgriFarm_1,मिट्टी की जांच कितनी बार करानी चाहिए?
AgriFarm_5,खरपतवार नियंत्रण का सबसे अच्छा तरीका क्या है?
AgriFarm_3,ಬದನೆಕಾಯಿ ಬೆಳೆಗೆ ಯಾವ ತರಹದ ರೋಗಗಳು ಬರುವುದೇ?
AgriFarm_3,ನೆಲದ ಎಣ್ಣೆ ಮಟ್ಟ ನೋಡೋದು ಹೇಗೆ ಉಪಯೋಗಿ?
AgriFarm_2,"कांद्याच्या मुळांवर बुरशी दिसतेय, काय करावं?"
AgriFarm_1,ಗೋಧಿ ಬೆಳೆಗೆ ಹಾಸುಹಗು ರೋಗ ಬಂದರೆ ಏನು ಮಾಡಬೇಕು?
AgriFarm_4,टोमॅटोवर किडीचा प्रादुर्भाव कसा थांबवावा?
AgriFarm_4,खरपतवार नियंत्रण का सबसे अच्छा तरीका क्या है?
AgriFarm_2,"कांद्याच्या मुळांवर बुरशी दिसतेय, काय करावं?"
AgriFarm_2,सोयाबीन पिकासाठी योग्यतमत खत कोणते आहे?
AgriFarm_4,"टमाटर में फूल आते हैं पर फल नहीं बनते, क्या करें?"
AgriFarm_5,ನೆಲದ ಎಣ್ಣೆ ಮಟ್ಟ ನೋಡೋದು ಹೇಗೆ ಉಪಯೋಗಿ?
AgriFarm_2,ಹಸಿ ಗೊಬ್ಬರದ ಒಳ್ಳೆಯ ಬಳಕೆ ಬಗ್ಗೆ ಮಾಹಿತಿ ನೀಡಿ.
AgriFarm_4,किस मौसम में मिर्ची की खेती अच्छी होती है?
AgriFarm_3,"ऊसाच्या मुळ्या कुजत आहेत, उपाय सांगा."
AgriFarm_3,उसामध्ये गवत वाढ थांबवायला कोणती फवारणी योग्य?
AgriFarm_2,कांदा पिकाला वेळेवर पाणी न दिल्यास काय परिणाम होतो?
AgriFarm_4,खरपतवार नियंत्रण का सबसे अच्छा तरीका क्या है?
AgriFarm_4,उसामध्ये गवत वाढ थांबवायला कोणती फवारणी योग्य?
AgriFarm_4,"टोमॅटो झाडं कोलमडत आहेत, कारण काय असू शकते?"
AgriFarm_3,टोमॅटोवर किडीचा प्रादुर्भाव कसा थांबवावा?
AgriFarm_4,"टमाटर में फूल आते हैं पर फल नहीं बनते, क्या करें?"
